 1.0000E-01   1.200509908707405D+03   1.309248607967128D+03   1.138455891840407D+03   1.707927161267204D+02
 1.0500E-01   9.850312853743194D+02   1.092741108535733D+03   9.243562434337995D+02   1.683848651019341D+02
 1.2500E-01   5.569272610811825D+02   6.603137183309419D+02   5.006702933304271D+02   1.596434250005155D+02
 1.4000E-01   3.993154443200018D+02   5.013807028899179D+02   3.435438093238041D+02   1.578368935661138D+02
 1.5500E-01   2.549628735257578D+02   3.603590796157845D+02   1.963775830240872D+02   1.639814965916973D+02
 1.7500E-01   2.299225879470702D+02   3.229621419862493D+02   1.842331981700155D+02   1.387289438162339D+02
 2.0000E-01   2.292492595396619D+02   3.131335736487379D+02   1.873495323350261D+02   1.257840413137118D+02
 2.2000E-01   2.143745416454563D+02   2.945339501680626D+02   1.730168007530023D+02   1.215171494150602D+02
 2.5000E-01   1.828863664618871D+02   2.596384764842002D+02   1.417966505091097D+02   1.178418259750905D+02
 3.0000E-01   1.457779725697936D+02   2.171476535173553D+02   1.058800842580503D+02   1.112675692593049D+02
 3.1750E-01   1.371161454541657D+02   2.068272398282969D+02   9.738791949288162D+01   1.094393203354153D+02
 3.5000E-01   1.148268379378550D+02   1.839539947868055D+02   7.258326321371379D+01   1.113707315730917D+02
 4.0000E-01   9.294905201582532D+01   1.595510530194103D+02   5.006152320965967D+01   1.094895298097506D+02
 4.5000E-01   7.746372811089401D+01   1.420167055542304D+02   3.351327366318411D+01   1.085034318910463D+02
 5.3000E-01   6.531357329691073D+01   1.242454990845525D+02   2.474718023539046D+01   9.949831884916202D+01
 5.7000E-01   6.104943924874415D+01   1.175712286394831D+02   2.159467592356659D+01   9.597655271591653D+01
 6.5000E-01   5.385791821505160D+01   1.062995014093459D+02   1.629830729931011D+01   9.000119411003581D+01
 7.3000E-01   4.916592798185933D+01   9.748344169395629D+01   1.461879322284885D+01   8.286464847110749D+01
 8.5000E-01   4.463452267255517D+01   8.746015029321700D+01   1.373705807433327D+01   7.372309221888369D+01
 1.0000E+00   3.893656790247238D+01   7.711786215039456D+01   1.055794428331464D+01   6.655991786707990D+01
 1.1500E+00   3.481008008852216D+01   6.917134403095214D+01   9.050305965740748D+00   6.012103806521140D+01
 1.3000E+00   3.147568467319904D+01   6.271664735116939D+01   8.123544414107096D+00   5.459310293706231D+01
 1.3500E+00   3.119812720713087D+01   6.121286990002628D+01   9.075174298077091D+00   5.213769560194920D+01
 1.4000E+00   3.039969747285130D+01   5.955273971679433D+01   8.773294715636542D+00   5.077944500115780D+01
 1.5300E+00   2.859599204525564D+01   5.544476008563419D+01   8.729909751706687D+00   4.671485033392751D+01
 1.6500E+00   2.671247791917225D+01   5.182056542333827D+01   7.961713968460854D+00   4.385885145487743D+01
 1.8000E+00   2.462433150566604D+01   4.760460295497081D+01   7.313166041201943D+00   4.029143691376887D+01
 1.9000E+00   2.333568684767909D+01   4.502558219819500D+01   6.871411554424320D+00   3.815417064377068D+01
 2.0000E+00   2.212403663102172D+01   4.252697646887820D+01   6.554168522658014D+00   3.597280794622019D+01
 2.1500E+00   2.100111617148394D+01   3.940102379484298D+01   6.846569068516938D+00   3.255445472632605D+01
 2.2700E+00   2.023854583467335D+01   3.723289319888644D+01   7.025543176438371D+00   3.020735002244806D+01
 2.3500E+00   1.964668872942563D+01   3.580480003747543D+01   6.987450440370012D+00   2.881734959710542D+01
 2.5000E+00   1.858621229659719D+01   3.319784310460549D+01   6.925071616692913D+00   2.627277148791259D+01
 2.7500E+00   1.849795334312120D+01   3.049467336411211D+01   8.564013213137958D+00   2.193066015097415D+01
 2.9000E+00   1.887585262687463D+01   2.968466020239509D+01   9.495172222859392D+00   2.018948797953571D+01
