 1.0000E-01   1.949478058874117D+02   2.845950975475170D+02   1.696725495598756D+02   1.149225479876413D+02
 1.0500E-01   1.738687359258347D+02   2.594568762965538D+02   1.496147273270388D+02   1.098421489695151D+02
 1.2500E-01   1.326506390818362D+02   2.043569641743272D+02   1.110268129510218D+02   9.333015122330539D+01
 1.4000E-01   1.149607689493032D+02   1.785674625360960D+02   9.487523214522452D+01   8.369223039087153D+01
 1.5500E-01   9.962830778915777D+01   1.569080465805967D+02   8.071213986996429D+01   7.619590671063231D+01
 1.7500E-01   7.841656611361094D+01   1.283565718589968D+02   6.052996221230251D+01   6.782660964669424D+01
 2.0000E-01   6.422054581044971D+01   1.059654294014682D+02   4.750342469554808D+01   5.846200470592009D+01
 2.2000E-01   5.791724191612420D+01   9.463776412588419D+01   4.228089337288609D+01   5.235687075299808D+01
 2.5000E-01   5.115658471625200D+01   8.183763414949185D+01   3.719782824606215D+01   4.463980590342970D+01
 3.0000E-01   4.353539398761455D+01   6.755141816419635D+01   3.170651283150625D+01   3.584490533269009D+01
 3.1750E-01   4.119897359940278D+01   6.341382009062600D+01   2.988713753450185D+01   3.352668255612416D+01
 3.5000E-01   3.691809268293028D+01   5.658949766289258D+01   2.630150780195786D+01   3.028798986093473D+01
 4.0000E-01   3.267144042726733D+01   4.893542616458098D+01   2.304533027294396D+01   2.589009589163703D+01
 4.5000E-01   2.941984143473901D+01   4.319779637689660D+01   2.067016970987222D+01   2.252762666702439D+01
 5.3000E-01   2.513895003935672D+01   3.600143466222806D+01   1.762668202779354D+01   1.837475263443451D+01
 5.7000E-01   2.354384823907450D+01   3.319848090154017D+01   1.645421595126811D+01   1.674426495027204D+01
 6.5000E-01   2.096848770132031D+01   2.868683728080675D+01   1.474281243887778D+01   1.394402484192897D+01
 7.3000E-01   1.934555416344057D+01   2.566374542480899D+01   1.371428345102217D+01   1.194946197378681D+01
 8.5000E-01   1.754982299275597D+01   2.267109108719109D+01   1.252908371161708D+01   1.014200737557401D+01
 1.0000E+00   1.561395297503009D+01   2.012540797662518D+01   1.109428206504072D+01   9.031125911584464D+00
 1.1500E+00   1.403755327193758D+01   1.842320736866179D+01   9.887542731195804D+00   8.535664637465983D+00
 1.3000E+00   1.294002574844573D+01   1.734560801112580D+01   9.032819000465297D+00   8.312789010660504D+00
 1.3500E+00   1.266628055006433D+01   1.708848238599512D+01   8.840469828403116D+00   8.248012557592016D+00
 1.4000E+00   1.245096968355474D+01   1.688012488827689D+01   8.695231641333409D+00   8.184893246943481D+00
 1.5300E+00   1.210975389519433D+01   1.659970829545195D+01   8.546778055829691D+00   8.052930239622256D+00
 1.6500E+00   1.211453445289945D+01   1.657964158161250D+01   8.695569758355084D+00   7.884071823257414D+00
 1.8000E+00   1.213519802002577D+01   1.646979574111283D+01   8.865457007592397D+00   7.604338733520431D+00
 1.9000E+00   1.184501112308359D+01   1.606976528734547D+01   8.649431170299398D+00   7.420334117046076D+00
 2.0000E+00   1.102071105854774D+01   1.512770967950465D+01   7.922651252214043D+00   7.205058427290609D+00
 2.1500E+00   1.009563181291012D+01   1.401900314573696D+01   7.117098892561792D+00   6.901904253175170D+00
 2.2700E+00   7.850996174466189D+00   1.160300744492961D+01   5.007554067923286D+00   6.595453377006325D+00
 2.3500E+00   7.466415203415323D+00   1.109914572360639D+01   4.723505619178102D+00   6.375640104428287D+00
 2.5000E+00   6.851745386325675D+00   1.024820321414999D+01   4.251938831052002D+00   5.996264383097987D+00
 2.7500E+00   6.333536912574955D+00   9.334943457648926D+00   3.892579849832050D+00   5.442363607816877D+00
 2.9000E+00   6.218697983465349D+00   8.984648599145908D+00   3.802832424026462D+00   5.181816175119448D+00
 3.1000E+00   6.052037923591337D+00   8.544053841985301D+00   3.700222964205646D+00   4.843830877779656D+00
 3.3500E+00   5.776244586505633D+00   7.936313045755912D+00   3.575716543246261D+00   4.360596502509651D+00
 3.5000E+00   6.074633014740447D+00   8.075770185967393D+00   3.839353345265668D+00   4.236416840701724D+00
 3.7500E+00   5.994384386140762D+00   7.722847018466323D+00   3.900819764549051D+00   3.822027253917272D+00
 4.0000E+00   5.906353781392220D+00   7.391066178760031D+00   3.950548954896277D+00   3.440517223863753D+00
 4.5200E+00   5.779663596357533D+00   6.861673371276050D+00   4.066618913242405D+00   2.795054458033642D+00
 4.8000E+00   5.803049269012547D+00   6.726953389308364D+00   4.208992993988280D+00   2.517960395320082D+00
 5.0000E+00   5.945264311241997D+00   6.779766853974449D+00   4.359512065630819D+00   2.420254788343633D+00
 5.3000E+00   6.015426748699001D+00   6.713766886688656D+00   4.561996782727861D+00   2.151770103960794D+00
 5.6000E+00   6.074720709654029D+00   6.672484357674428D+00   4.786523426975426D+00   1.885960930699004D+00
 5.9000E+00   6.201984724058772D+00   6.704756307256016D+00   4.992428494749367D+00   1.712327812506648D+00
 6.7500E+00   6.444037664507998D+00   6.729897761940213D+00   5.499165333206044D+00   1.230732428734170D+00
 7.5500E+00   6.652686312306874D+00   6.782035724570134D+00   5.970868167094750D+00   8.111675574753852D-01
 8.2500E+00   8.568204756655403D+00   8.638015930149358D+00   7.997179173639418D+00   6.408367565099424D-01
 8.7000E+00   1.117071387930522D+01   1.124568892418615D+01   1.059371224361152D+01   6.519766805746220D-01
 9.0000E+00   1.342860075981071D+01   1.351690738056619D+01   1.280807432287529D+01   7.088330576908995D-01
 9.3000E+00   1.535572040231028D+01   1.546192879035436D+01   1.465919905645083D+01   8.027297339035311D-01
 9.7500E+00   1.508343031827778D+01   1.520906528291687D+01   1.431425672974317D+01   8.948085531736921D-01
 1.0000E+01   1.414434913328158D+01   1.427097897113905D+01   1.337416683270134D+01   8.968121384377150D-01
 1.0500E+01   1.242464070186628D+01   1.255781853390971D+01   1.173174003099524D+01   8.260785029144679D-01
 1.1000E+01   1.121761549712599D+01   1.135356687033771D+01   1.058931197381499D+01   7.642548965227218D-01
 1.1400E+01   1.044767690101756D+01   1.058472322037893D+01   9.866822739704627D+00   7.179004806743040D-01
 1.2000E+01   9.675462041365378D+00   9.806594848881193D+00   9.177137315238092D+00   6.294575336430994D-01
 1.2700E+01   9.855890536488367D+00   9.944751298301313D+00   9.447581877483239D+00   4.971694208180728D-01
 1.3500E+01   1.053047477926818D+01   1.058967787555010D+01   1.019588873946580D+01   3.937891360843101D-01
 1.5000E+01   1.258841638935344D+01   1.261386433620029D+01   1.234949272940735D+01   2.643716067929374D-01
 1.6500E+01   1.636796785692311D+01   1.638629308638093D+01   1.616182107419992D+01   2.244720121810266D-01
 1.8000E+01   1.994264426430799D+01   1.996235501673956D+01   1.972734573399475D+01   2.350092827448131D-01
 1.9000E+01   2.116539945442774D+01   2.118446152234115D+01   2.095337812668668D+01   2.310833956544741D-01
 2.0000E+01   2.184096985716219D+01   2.185837662761993D+01   2.163997626560002D+01   2.184003620199124D-01
 2.1000E+01   2.206005610782503D+01   2.207602049201926D+01   2.187491360274802D+01   2.011068892712365D-01
 2.3000E+01   2.115007333387867D+01   2.116268192631359D+01   2.099433581870919D+01   1.683461076043893D-01
 2.5000E+01   1.869486558666394D+01   1.870490580437389D+01   1.856721768202328D+01   1.376881223506077D-01
 2.6500E+01   1.625233269041230D+01   1.626118361576373D+01   1.614342140481968D+01   1.177622109440366D-01
 2.7500E+01   1.458633468045274D+01   1.459406936777216D+01   1.448988709717200D+01   1.041822706001686D-01
 2.9500E+01   1.152506009024740D+01   1.153116610951907D+01   1.145042316534299D+01   8.074294417607863D-02
 3.1500E+01   9.072986275328192D+00   9.077648508805979D+00   9.015814621298185D+00   6.183388750779616D-02
 3.3100E+01   7.636287766033561D+00   7.639632840911652D+00   7.589865922226616D+00   4.976691868503477D-02
 3.4500E+01   6.560703724113833D+00   6.563445451823891D+00   6.521352532777196D+00   4.209291904669715D-02
 3.6000E+01   5.579266978681543D+00   5.581623855736908D+00   5.546110255302393D+00   3.551360043451195D-02
 3.7000E+01   5.078127783979305D+00   5.080098763359890D+00   5.048889849400836D+00   3.120891395905501D-02
 3.8500E+01   4.579157095933758D+00   4.580517716694570D+00   4.554216217063505D+00   2.630149963106328D-02
 4.0000E+01   3.983111341749694D+00   3.984255573641283D+00   3.961850284158027D+00   2.240528948325577D-02
 4.2000E+01   3.345280920772188D+00   3.346194214518193D+00   3.328012482780657D+00   1.818173173753437D-02
 4.3350E+01   3.079660195944112D+00   3.080360899143814D+00   3.064575513557191D+00   1.578538558662330D-02
 4.5540E+01   2.634121116668556D+00   2.634670908133394D+00   2.621795722359320D+00   1.287518577407538D-02
 5.0000E+01   1.982047901235340D+00   1.982410589041225D+00   1.973675424594793D+00   8.735164446431678D-03
 6.0000E+01   1.189666270880143D+00   1.189874693018697D+00   1.185481956832872D+00   4.392736185824105D-03
 7.0000E+01   8.014636499087171D-01   8.015914045568019D-01   7.991148345501655D-01   2.476570006636581D-03
 8.5000E+01   5.009405524027564D-01   5.010118480543430D-01   4.999356134416425D-01   1.076234612700272D-03
 1.0000E+02   3.498491435949200D-01   3.498759251070472D-01   3.493987664853327D-01   4.771586217146809D-04
 1.0600E+02   3.102403554409012D-01   3.102571683408657D-01   3.098851234354239D-01   3.720449054417629D-04
 1.1000E+02   2.878887456947939D-01   2.879014198304760D-01   2.875826535356814D-01   3.187662947945588D-04
 1.1500E+02   2.636113182510905D-01   2.636204577994293D-01   2.633551388988574D-01   2.653189005718785D-04
 1.2000E+02   2.426899064075264D-01   2.426966539805757D-01   2.424738129213879D-01   2.228410591878467D-04
 1.2700E+02   2.179809425116505D-01   2.179854972277240D-01   2.178086510545790D-01   1.768461731451003D-04
 1.3300E+02   2.002219052266079D-01   2.002252362733275D-01   2.000786264223520D-01   1.466098509755260D-04
 1.4100E+02   1.803193267111742D-01   1.803215842942031D-01   1.802058605375117D-01   1.157237566914760D-04
 1.4500E+02   1.716978559675285D-01   1.716997339826780D-01   1.715963860065381D-01   1.033479761399508D-04
 1.5000E+02   1.619263329920284D-01   1.619278381596352D-01   1.618377122208631D-01   9.012593877209264D-05
 1.5500E+02   1.531301311213419D-01   1.531313483147387D-01   1.530523902595012D-01   7.895805523744819D-05
 2.0000E+02   1.016567323041833D-01   1.016569762531248D-01   1.016286584575943D-01   2.831779553051593D-05
 2.5000E+02   7.372222176619182D-02   7.372228334130808D-02   7.371071912644785D-02   1.156421486024682D-05
 3.5000E+02   4.984935419387763D-02   4.984936192773803D-02   4.984636201148160D-02   2.999916256434094D-06
 4.5000E+02   4.046593380365919D-02   4.046593545786893D-02   4.046483876383862D-02   1.096694030288578D-06
 5.0000E+02   3.778282598490387D-02   3.778282685007014D-02   3.778210663478877D-02   7.202152813511587D-07
 6.0000E+02   3.388795669762409D-02   3.388795697734209D-02   3.388760893840295D-02   3.480389391515421D-07
 8.0000E+02   2.996925779791029D-02   2.996925784309167D-02   2.996914764488069D-02   1.101982109734043D-07
 1.0000E+03   2.795714125037574D-02   2.795714126058802D-02   2.795709609370236D-02   4.516688567312818D-08
 1.3000E+03   2.624705863553186D-02   2.624705863688288D-02   2.624704281733186D-02   1.581955104568276D-08
 1.5000E+03   2.570063031105432D-02   2.570063031136607D-02   2.570062138487030D-02   8.926495766655968D-09
 2.0000E+03   2.600706842024941D-02   2.600706842030467D-02   2.600706559584782D-02   2.824456831264794D-09
 2.6000E+03   2.720451529281765D-02   2.720451529282900D-02   2.720451430362143D-02   9.892075804505561D-10
 3.0000E+03   2.794750845882637D-02   2.794750845883112D-02   2.794750790038301D-02   5.584480905213234D-10
 5.7000E+03   4.050696357728919D-02   4.050696357728926D-02   4.050696353321104D-02   4.407823335011936D-11
 9.6000E+03   5.578097518626238D-02   5.578097518626238D-02   5.578097517949969D-02   6.762686547506222D-12
 3.0000E+04   1.653989668008386D-03   1.653989668008386D-03   1.653989667942148D-03   6.623810826744142D-14
 1.0000E+05   8.306698379055874D-05   8.306698379055874D-05   8.306698379003528D-05   5.234428890442157D-16
