 1.0000E-01   5.525943735075921D+01   1.346360391657379D+02   3.371337545915474D+01   1.009226637065831D+02
 1.0500E-01   5.530535075257175D+01   1.296187095595928D+02   3.511442285572434D+01   9.450428670386846D+01
 1.2500E-01   5.718393070011336D+01   1.148871683737864D+02   4.139049313047484D+01   7.349667524331157D+01
 1.4000E-01   6.007212727103393D+01   1.083856093953991D+02   4.677446937603549D+01   6.161114001936361D+01
 1.5500E-01   6.405507257855547D+01   1.049114875961376D+02   5.266516115763832D+01   5.224632643849934D+01
 1.7500E-01   7.090129319163094D+01   1.042227042188144D+02   6.134458288895965D+01   4.287812132985471D+01
 2.0000E-01   8.136209427557752D+01   1.088663888686966D+02   7.296176250402154D+01   3.590462636467508D+01
 2.2000E-01   8.309736471976596D+01   1.082510887089685D+02   7.482777438833484D+01   3.342331432063366D+01
 2.5000E-01   7.496643400634289D+01   9.761284045248354D+01   6.664115161476289D+01   3.097168883772063D+01
 3.0000E-01   5.880361588906202D+01   7.772764394111412D+01   5.068453880689950D+01   2.704310513421465D+01
 3.1750E-01   5.382198404524387D+01   7.166595010830210D+01   4.581486894504342D+01   2.585108116325872D+01
 3.5000E-01   4.522397505979000D+01   6.135002910537047D+01   3.744681788067291D+01   2.390321122469759D+01
 4.0000E-01   3.481926121507770D+01   4.873372373684388D+01   2.747433648913467D+01   2.125938724770922D+01
 4.5000E-01   2.791634921142059D+01   4.001332139520238D+01   2.103126057860680D+01   1.898206081659556D+01
 5.3000E-01   2.112700585013741D+01   3.110857683472608D+01   1.504612081474572D+01   1.606245601998037D+01
 5.7000E-01   1.890248164004313D+01   2.805059741323729D+01   1.322442822879437D+01   1.482616918444293D+01
 6.5000E-01   1.583135779737053D+01   2.358905235317464D+01   1.086890688411015D+01   1.272014546906450D+01
 7.3000E-01   1.403546148352471D+01   2.045414048465759D+01   9.654724655397573D+00   1.079941582926001D+01
 8.5000E-01   1.253466760545496D+01   1.741491459329562D+01   8.803012596410273D+00   8.611901996885351D+00
 1.0000E+00   1.149440462652795D+01   1.534204478490658D+01   8.336704044578578D+00   7.005340740328002D+00
 1.1500E+00   1.058138328631606D+01   1.399691707432936D+01   7.743542819324395D+00   6.253374255004961D+00
 1.3000E+00   9.682302564309090D+00   1.312611282792649D+01   6.908389871417693D+00   6.217722956508792D+00
 1.3500E+00   9.400118384462985D+00   1.288436219088208D+01   6.610930677055518D+00   6.273431513826562D+00
 1.4000E+00   9.162987294719768D+00   1.267829154237679D+01   6.329911886409683D+00   6.348379655967103D+00
 1.5300E+00   8.615749008439376D+00   1.231287060747429D+01   5.667130083050780D+00   6.645740524423500D+00
 1.6500E+00   8.350094722375726D+00   1.233077731529629D+01   5.268124027884170D+00   7.062653287412122D+00
 1.8000E+00   8.071078369664782D+00   1.232474288235967D+01   4.833644069803077D+00   7.491098812556593D+00
 1.9000E+00   7.778656571640529D+00   1.212598661957687D+01   4.450733992816041D+00   7.675252626760836D+00
 2.0000E+00   7.197105635342819D+00   1.158104849026537D+01   3.810911228035600D+00   7.770137262229768D+00
 2.1500E+00   6.554895868227804D+00   1.096225687781334D+01   3.062747948823835D+00   7.899508928989504D+00
 2.2700E+00   5.330826118689269D+00   9.730226038414056D+00   1.792522699556897D+00   7.937703338857161D+00
 2.3500E+00   5.053401444150017D+00   9.462341731280395D+00   1.531548149338886D+00   7.930793581941505D+00
 2.5000E+00   4.592290519631312D+00   8.930102529608790D+00   1.151001302158945D+00   7.779101227449846D+00
 2.7500E+00   4.093066345434787D+00   8.165923021592974D+00   8.481610376212068D-01   7.317761983971766D+00
 2.9000E+00   3.872887523139209D+00   7.714567173128099D+00   7.433250849946706D-01   6.971242088133429D+00
 3.1000E+00   3.595775732793001D+00   7.129819001899040D+00   6.276655208273858D-01   6.502153481071654D+00
